endTime,artistName,trackName,msPlayed,uri
2023-01-27 11:35,UB40,Red Red Wine,874,4uOKFydzAejjSFqYbv1XPt
2023-01-27 11:35,New West,Those Eyes,1450,2GThBgzZoZfz0lx1JjBwfe
2023-01-27 11:35,Beret,Mirando a la luna (feat. Reik),1536,3pgruOfc6P6NtTusfwrVga
2023-01-27 11:41,Trueno,Hood - Remix,72128,3UytZp1xDkNkROyIwE7DbY
2023-01-28 14:25,Quevedo,SIN SEÑAL,874,1Y62KpDaP5MEL43ZcI6IaG
2023-01-28 14:25,Quevedo,VISTA AL MAR,1685,7iwJOi3hlMqZt6pj1sQOBj
2023-01-28 17:02,Dano,Santo Grial,2773,5glEywhgiNEk1GbEqcWfiO
2023-01-28 17:05,Ed Maverick,Fuentes de Ortiz,207400,0akyEssGRVHstqCSWXusJL
2023-01-28 17:06,ROSALÍA,Abcdefg,65961,5EbsCDXjzmwtHm70q87VHt
2023-01-28 17:08,La Joaqui,Mañosa,128476,6ELw0p5THiGQxrJnQnmwCq
2023-01-28 17:11,TINI,Muñecas,156318,1PAvhqefivTNdxZ4u8RT1d
2023-01-28 17:14,Rita Payés,Algo contigo,132034,3HMuJG1y7pyjg7Rrk17Rsb
2023-01-28 17:14,Ed Maverick,Fuentes de Ortiz,23615,0akyEssGRVHstqCSWXusJL
2023-01-28 17:17,Abel Pintos,No Me Olvides,152810,2Pq3bGuvCa1beNMrBxgcKT
2023-01-28 17:17,WOS,ANDRÓMEDA,2218,4Pa73QAWSryyKavXNyVbUA
2023-01-28 17:20,WOS,PUAJ (sesión),156665,6fTxvdEyWl3zZg2XTWO4s8
2023-01-28 17:23,WOS,CANGURO,196745,2UAWYufVaO3EnUUNzl0ppO
2023-01-28 17:26,LOUTA,QUEREME,194840,0bhWW1Bve1Ng6kEm8WjiQA
2023-01-28 17:29,WOS,LUZ DELITO,155867,13VEtVCYfLTVsq5STs3SlW
2023-01-28 17:32,WOS,CONVOY JARANA,158123,09ZM0SFVkQauSIR5I3aj0g
2023-01-28 17:32,ACRU,ANIMAL,938,06b0Au6pvZiO03eKTCvgWh
2023-01-28 18:05,WOS,FRESCO,87808,0blWPYAfbvpRLVHUcmqmmj
2023-01-28 18:08,Bad Bunny,Si Estuviésemos Juntos,169247,35wvL50xvKpCHEJPxLOLPI
2023-01-28 18:11,Cami,Funeral,6016,1ueLYdeuGMAwUiaezLDObD
2023-01-28 18:11,Paulo Londra,Demasiado Loco,166548,1algWk375QvT1XNJJbRsGM
2023-01-28 18:14,Paz Carrara,Radar,3227,2ZrnMV7mUPqU2qPgFyEa23
2023-01-28 18:14,Paz Carrara,Radar,162288,2ZrnMV7mUPqU2qPgFyEa23
2023-01-28 18:15,ROSALÍA,Abcdefg,65961,5EbsCDXjzmwtHm70q87VHt
2023-01-28 18:18,Eslabon Armado,24 Horas,12289,0T8lt51Lvj1OAj750PH6X9
2023-01-28 18:18,La Joaqui,Mañosa,157677,6ELw0p5THiGQxrJnQnmwCq
2023-01-29 10:53,Dano,Santo Grial,640,5glEywhgiNEk1GbEqcWfiO
2023-01-29 10:57,Ed Maverick,Fuentes de Ortiz,207400,0akyEssGRVHstqCSWXusJL
2023-01-29 10:58,ROSALÍA,Abcdefg,65961,5EbsCDXjzmwtHm70q87VHt
2023-01-29 11:00,La Joaqui,Mañosa,108380,6ELw0p5THiGQxrJnQnmwCq
2023-01-29 11:05,Eslabon Armado,24 Horas,317362,0T8lt51Lvj1OAj750PH6X9
2023-01-29 11:07,TINI,Muñecas,156318,1PAvhqefivTNdxZ4u8RT1d
2023-01-29 11:11,Rita Payés,Algo contigo,207963,3HMuJG1y7pyjg7Rrk17Rsb
2023-01-29 11:11,Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",5589,4nrPB8O7Y7wsOCJdgXkthe
2023-01-29 11:15,C. Tangana,Me Maten - Live at NPR's Tiny Desk,242496,5py3FJrHEuR67BjR7wm8uj
2023-01-29 11:40,Anuel AA,23 Preguntas,162251,5ANkjNH7elrxzggidjnH9v
2023-01-29 12:01,Shakira,Tú,214133,7xX3wvvcZvxGCa06KlgTCp
2023-01-29 13:45,Pablo Alborán,Solamente tú,139968,7sRXhReWmJF5pqyg3uUTES
2023-01-29 13:59,Cristian Castro,Por Amarte Así,272200,2bvO1KXbUd4vySCWGNqIIa
2023-01-29 14:05,Alejandro Sanz,Mi Persona Favorita,239972,70fVcEP5pRrxaIICY3DcPe
2023-01-29 14:31,Sebastian Yatra,Devuélveme El Corazón,105358,7etlF1zMxJbiaeQrXYh0PY
2023-01-29 14:35,WOS,TERRAZA,234949,6cLWKCBNawunqBHmyzdG7v
2023-01-29 14:35,WOS,GATO NEGRO,4465,5Mn4FEB5vtRI4tbr3MwNnO
2023-01-29 14:38,WOS,LUZ DELITO,155867,13VEtVCYfLTVsq5STs3SlW
2023-01-29 14:39,WOS,ANDRÓMEDA,48831,4Pa73QAWSryyKavXNyVbUA
2023-01-31 22:36,ROSALÍA,Abcdefg,832,5EbsCDXjzmwtHm70q87VHt
2023-01-31 22:36,Sebastian Yatra,Vuelve,81941,3wGRfBDRNQb0nFDFrUPvq6
2023-01-31 22:38,La Joaqui,Mañosa,151850,6ELw0p5THiGQxrJnQnmwCq
2023-01-31 22:41,Eslabon Armado,24 Horas,148351,0T8lt51Lvj1OAj750PH6X9
2023-01-31 22:46,TINI,Muñecas,143317,1PAvhqefivTNdxZ4u8RT1d
2023-01-31 22:49,Rita Payés,Algo contigo,189077,3HMuJG1y7pyjg7Rrk17Rsb
2023-01-31 22:53,Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",45781,4nrPB8O7Y7wsOCJdgXkthe
2023-01-31 23:20,Quevedo,VISTA AL MAR,180672,7iwJOi3hlMqZt6pj1sQOBj
2023-01-31 23:30,Quevedo,SIN SEÑAL,185084,1Y62KpDaP5MEL43ZcI6IaG
2023-02-02 08:29,Dano,Santo Grial,1109,5glEywhgiNEk1GbEqcWfiO
2023-02-02 08:31,ROSALÍA,Abcdefg,20842,5EbsCDXjzmwtHm70q87VHt
2023-02-02 08:31,Ed Maverick,Fuentes de Ortiz,75818,0akyEssGRVHstqCSWXusJL
