endTime,artistName,trackName,msPlayed
2022-12-17 14:17,Katy Perry,Wide Awake,198320
2022-12-18 01:54,Austin Farwell,I Miss That Time,86551
2022-12-18 01:55,Patrick Watson,Je te laisserai des mots,38085
2022-12-18 03:14,Genevieve Stokes,Habits,136733
2022-12-18 03:15,New West,Those Eyes - Slowed + Reverb,7998
2022-12-18 03:18,New West,Those Eyes,220750
2022-12-18 03:20,Edward Sharpe & The Magnetic Zeros,Home,141389
2022-12-18 03:23,Sadie Jean,Locksmith,164081
2022-12-18 03:27,JVKE,golden hour,209259
2022-12-18 03:30,Julie and the Phantoms Cast,Unsaid Emily (feat. Charlie Gillespie),230240
2022-12-18 03:31,Katy Perry,Wide Awake,3669
2022-12-18 03:31,Clara Mae,Not Sad Anymore,28012
2022-12-18 03:35,James Arthur,Car's Outside - Acoustic,248735
2022-12-18 03:38,Maddie Zahm,Fat Funny Friend,199764
2022-12-18 03:41,Rosa Linn,SNAP,179551
2022-12-18 03:45,Dean Lewis,7 Minutes,211453
2022-12-18 03:47,Tate McRae,that way,175026
2022-12-18 03:51,Benson Boone,In The Stars,216410
2022-12-18 03:55,Anson Seabra,Magazines,220049
2022-12-18 03:58,Anson Seabra,Lucky Charms,190127
2022-12-18 04:01,Anson Seabra,Peter Pan Was Right,192497
2022-12-18 04:04,Haiden,Sorry to Your Next Ex,169613
2022-12-18 04:07,Tate McRae,she's all i wanna be,206772
2022-12-18 04:10,Kodaline,Brother,203186
2022-12-18 04:13,Stephen Sanchez,Until I Found You,13696
2022-12-18 04:13,Stephen Sanchez,Until I Found You - Piano Version,184895
2022-12-18 04:17,Dove Cameron,If Only,229813
2022-12-18 04:21,Dylan Conrique,birthday cake,205280
2022-12-18 04:23,Anson Seabra,Unloving You,153863
2022-12-18 04:26,Taylor Swift,Crazier,191946
2022-12-18 04:30,Julie and the Phantoms Cast,Perfect Harmony (feat. Madison Reyes & Charlie Gillespie),204000
2022-12-18 04:33,We Three,Sara,211174
2022-12-18 04:37,Adele,Easy On Me,224694
2022-12-18 04:40,Anson Seabra,Come Close,179796
2022-12-18 04:42,AJ Mitchell,Used to Be,174785
2022-12-18 04:45,Lauren Spencer Smith,Fingers Crossed,175344
2022-12-18 04:49,Anson Seabra,Keep Your Head Up Princess,198220
