artist,album,track,uri
Maluma,"Pretty Boy, Dirty Boy",Pretextos (feat. Cosculluela),spotify:track:7HDOS7qOhBxmcsWTv29PSK
Mitchel Musso,Disney Channel Playlist,The Girl Can't Help It,spotify:track:4GTkt6guZ4LSSPIc9o5IWf
PRETTYMUCH,Blind,Blind - Acoustic,spotify:track:5uuH4G5XscvxYhRvZ5a7sT
Selena Gomez,Lose You To Love Me,Lose You To Love Me,spotify:track:1HfMVBKM75vxSfsQ5VefZ5
Michael Giacchino,Disney-Pixar All Time Favorites,It's Finn McMissile!,spotify:track:3kaZnMEkQHrJRoO14d9qDD
Piso 21,Ubuntu,Puntos Suspensivos,spotify:track:04cd1MHVq1D8v1nuTZoCdv
Nicky Jam,X (feat. Maluma & Ozuna),X (feat. Maluma & Ozuna) - Remix,spotify:track:6JjPBQfI2Y8nIjnm65X6Pw
CKay,love nwantiti (feat. Dj Yo! & AX'EL),love nwantiti (feat. Dj Yo! & AX'EL) - Remix,spotify:track:4gvrJnKCKIPiacNsWVQwEU
Sebastian Yatra,MANTRA,Como Si Nada,spotify:track:75wp9tpODmy4gnI6WFR5ma
Nacho,Danza,Danza,spotify:track:4lt9qPn55TTqc0vhBLBgxP
Gustavo Santaolalla,Movie Scores,The Wings,spotify:track:6LvwBzqlnNrLSUHGTqM7E7
Jenny Martinez,Aliados,Yo Soy,spotify:track:5pUOvoANA6AhfMD8jmDxiW
Maluma,F.A.M.E.,Hangover (feat. Prince Royce),spotify:track:30dTsIbEuISrnDeeE0BKp1
Joaco Terán,Madre Tierra,Rainbow Surf Hostel,spotify:track:2FzKg00kfMDDAGoDbZQXrd
Nickelback,All the Right Reasons,Rockstar,spotify:track:3RlsVPIIs5KFhLFhxZ4iDF
Lennon Stella,Three. Two. One.,Older Than I Am,spotify:track:15VDHAMS4JCLziCjNkmQl1
Mora,Volando,Volando - Remix,spotify:track:0G2zPzWqVjR68iNPmx2TBe
Manuel Medrano,Manuel Medrano,Bajo El Agua,spotify:track:5QSYWruQQ7kBCHScI4xJ9g
Agustin Bernasconi,Aliados,Carpe Diem,spotify:track:4RBev9ci1lPiUtQSOoc0Mm
Koino Yokan,Viaje,Viaje,spotify:track:0y4RXtTYQNRGeGnTVuVoit
Bars and Melody,Generation Z,Serious,spotify:track:7i2wYF32BRUmh5td0qbXcH
ROSALÍA,MOTOMAMI +,Abcdefg,spotify:track:5EbsCDXjzmwtHm70q87VHt
Alkilados,Ella Me Persigue,Ella Me Persigue,spotify:track:5lKfxy2Lzs2yJWqHuWHUIq
Joe Cocker,The Bodyguard - Original Soundtrack Album,Trust In Me (feat. Sass Jordan),spotify:track:1QxMrnkL1MwMz1aOk54rFa
Whitney Houston,The Bodyguard - Original Soundtrack Album,I'm Every Woman,spotify:track:2eHj0klWkwRQuIrNlPpCPa
Bizarrap,"Residente: Bzrp Music Sessions, Vol. 49","Residente: Bzrp Music Sessions, Vol. 49",spotify:track:2dG9k8jtnkjzJjUToz9i9i
Milky Chance,Blossom,Cocoon - Acoustic Version,spotify:track:38PiBTHVatKwgu51L0ozhr
Marcos Menchaca,Cada Vez Más,Cada Vez Más,spotify:track:5La5i3ywEhsLXUWS8gVoJN
Morat,Sobre El Amor Y Sus Efectos Secundarios... Y Unas Cuantas Cosas Más,Amor Con Hielo,spotify:track:3HD9bDMbauNapHay7GOBoM
Bingo Players,Rattle,Rattle,spotify:track:3uXzBSx2eMKRTEP46SZ2fC
