trackName,endTime,artistName,msPlayed,uri,duracion_ms,popularidad,danceability
Estás Con Él,2022-09-27 17:14,Quevedo,4246041,5YOObwV9DaFoK8Z85LZbY0,210034,61,0.794
Evergreen (You Didn’t Deserve Me At All),2022-10-04 14:12,Omar Apollo,5851216,2TktkzfozZifbQhXjT6I33,216680,81,0.697
Ex de Verdad - HA-ASH Primera Fila - Hecho Realidad [En Vivo],2022-08-22 13:40,Ha*Ash,3583,40lU8uy8xKKRAP9A1N3BqH,247760,72,0.722
Explícito,2023-04-12 09:35,Myke Towers,195066,6qraVL4IJaIj0IuEexYJNa,195066,70,0.828
Eyes Closed,2023-04-21 18:33,Ed Sheeran,58177,0h3PlGdTl8kUA47Zb2kJAi,198200,0,0.645
FRESCO,2022-06-09 22:23,WOS,7083316,0blWPYAfbvpRLVHUcmqmmj,170302,67,0.782
Faded,2023-05-11 01:11,Alan Walker,10418,09rVMsPoIYUijNcMs0chGQ,212840,0,0.771
Falling,2022-06-28 20:12,Harry Styles,93941,4TnjEaWOeW0eKTKIEvJyCa,159381,6,0.785
False Confidence,2022-09-01 00:44,Noah Kahan,806491,7nDFTHHwfe32a8qdp9XqPy,223400,70,0.414
Familiar,2023-05-05 22:18,Liam Payne,9333,0Y4hwUppbGc8aIBmiTz30A,196552,59,0.636
Fantasias,2022-12-20 23:11,Rauw Alejandro,1023,6mAN61JH0dzyZpWslS11jy,199711,76,0.879
Fantasias - Unplugged,2022-08-10 01:12,Rauw Alejandro,2208400,6qqd7DGn2VXzxsR4k3Ycun,200593,59,0.714
Favorito,2023-01-18 13:36,Camilo,55529,0jT8Nl0shPS8115is0wD2Q,209765,66,0.606
Fergalicious,2022-09-08 23:28,Fergie,101209,1D066zixBwqFYqBhKgdPzp,292373,72,0.906
Fetish (feat. Gucci Mane),2023-03-23 09:53,Selena Gomez,3242,0XLOf9LhyazPX9Ld8jPiUq,186112,0,0.708
Fiel,2022-10-09 17:43,Los Legendarios,1230,7Bk0uXKk1uPT0XuQbpFzvs,261665,73,0.849
Fiera,2022-10-28 16:04,Cris Mj,1466422,5cDyidxA6n2xI4iFsqzt6D,175788,61,0.821
Fine,2022-09-01 00:54,Noah Kahan,582682,2elxgOyiNPM0QYjixON7cn,205733,59,0.7
Flames - Tepr Remix,2022-10-05 13:54,David Guetta,5423,512JyhHrndIxZ81JmYZLmP,232983,27,0.681
Flashed Junk Mind,2022-10-20 10:57,Milky Chance,639221,7EuTFqQnMZoIaGisMRCtf6,262000,1,0.839
Flores,2022-10-13 01:31,Babi,491697,4WjtEdWL0JnxlWo80LpTr6,201053,2,0.631
Fresa,2023-03-08 09:40,TINI,4219,4BCPItsB94KDLuERZT3aNM,165646,11,0.781
Friends,2022-11-23 15:30,Eladio Carrion,20720,0GmfYAOe7Y3vIv4lKdaeOA,214133,49,0.869
From Now On,2023-03-23 09:53,Hugh Jackman,5120,3IkWmgGsXbsafrunwPojXO,349560,72,0.516
Fucking Diablo,2023-02-28 02:52,Nicki Nicole,309402,5HugdP5zn1KUybBdc1xsdf,144522,53,0.759
Fue amor,2022-09-13 19:05,Fito Paez,270475,1bOJr9cWKEDAiJxRaHThrT,253373,62,0.648
Fuentes de Ortiz,2022-10-10 02:16,Ed Maverick,3484780,0akyEssGRVHstqCSWXusJL,207400,80,0.83
Fuera del mercado,2022-06-01 22:50,Danny Ocean,7204543,1UdzJEpgJxtuXAlCOvD4S0,159849,82,0.453
Funeral,2022-06-23 22:39,Cami,551948,1ueLYdeuGMAwUiaezLDObD,221400,52,0.725
GATO NEGRO,2022-06-23 22:15,WOS,2277422,5Mn4FEB5vtRI4tbr3MwNnO,195864,56,0.484
GPS (feat. French Montana),2023-03-24 18:37,Maluma,1642,3t6j6WNv2OSn6qm5Vxynub,216306,64,0.841
Gasolina,2022-10-05 13:50,Daddy Yankee,3630,6jEZLz3YpnEBRpVkv35AmP,192600,4,0.857
Get Up (Rattle) [feat. Far East Movement] - Vocal Edit,2023-01-18 09:00,Bingo Players,9735,3wLPRjw2XQpmowqXUXb3UF,166932,71,0.801
Get You The Moon (feat. Snøw),2022-10-10 02:20,Kina,188552,4ZLzoOkj0MPWrTLvooIuaa,179080,80,0.498
Godzilla (feat. Juice WRLD),2023-03-23 09:53,Eminem,2645,7FIWs0pqAYbP91WWM0vlTQ,210800,84,0.808
Goosebumps - Spanish Remix,2022-10-07 14:31,Larking,37956,6hEPhvbMFQiKSBG22fspFI,243846,26,0.805
Goteo,2022-07-26 03:34,Duki,1649121,1EoEU4HY57qaITp06TkC6B,164457,70,0.473
Grenade,2023-01-09 16:36,Bruno Mars,222091,4lLtanYk6tkMvooU0tWzG8,222091,80,0.704
Gusty DJ | Ecko - Session en el Barrio #7,2023-02-07 12:39,Gusty dj,4134673,2ALRaYszX1wDifP6HrcdqS,164536,68,0.883
Gym Quarantine,2023-01-18 08:58,HUGEL,1514,1t9WkESChRAN8T9p3az6Pg,168611,44,0.865
Hacer un puente,2022-09-11 14:52,La Franela,569631,18Q3WTfyWX1tdS1cp42NhA,282958,62,0.522
Half A Man,2022-08-28 03:12,Dean Lewis,2990209,1ugQtcwmKOXvKAYzhjncmv,179120,78,0.507
Hallelujah,2022-09-01 01:00,Noah Kahan,230617,3wWinz94TSPWe6CgTaSK6x,207986,54,0.229
Hands On Me,2022-12-14 00:25,BURNS,1898,2GC8vo2NO9u28G7kBIuP0j,256240,49,0.714
Happier,2023-05-12 10:12,Ed Sheeran,232015,2RttW7RAu5nOAfq6YFvApB,207520,81,0.522
