endTime,artistName,trackName,msPlayed,uri
2022-06-03 09:56,Vancouver Sleep Clinic,Someone To Stay,4388,2xlV2CuWgpPyE9e0GquKDN
2022-06-03 09:56,Avicii,The Nights,2345,0ct6r3EGTcMLPtrXHDvVjc
2022-06-03 09:56,Sara Kays,Smaller Than This,6826,29A7Zz30FbIbvlnHHaJdIx
2022-06-03 10:00,Vancouver Sleep Clinic,Someone To Stay,253747,2xlV2CuWgpPyE9e0GquKDN
2022-06-03 10:03,Zoe Wees,Control,159660,50Td3qilgs8BLtv8mHyT1t
2022-06-03 10:06,One Direction,Over Again,182040,4RC5YmcpCbRsX3AtRzoQeh
2022-06-03 10:09,Lord Huron,The Night We Met,208211,3hRV0jL3vUpRrcy398teAU
2022-06-03 10:09,AJ Mitchell,Used to Be,6072,6Vt5LdwSUvbcDfWThqnBK5
2022-06-03 10:09,Olivia Rodrigo,drivers license,8243,7lPN2DXiMsVn7XUKtOW1CS
2022-06-03 10:09,Sam Fischer,What Other People Say (with Sam Fischer),2832,2tsI8snJhb4BL9zczvlZmL
2022-06-03 10:09,Ellie Goulding,"Still Falling For You - From ""Bridget Jones's Baby""",1393,3odrUVQ9tvRpkC9II2oWzx
2022-06-03 10:10,Home,Resonance,2438,65r94rVdiMwqXyQFEr3tqT
2022-06-03 10:10,Cole Norton,Perfect,1834,5yWL57uHx9aincW0l7px7p
2022-06-03 10:10,Clinton Kane,I GUESS I'M IN LOVE,1346,1is8gU4RVcN4J8xItxWoOY
2022-06-03 10:13,Manuel Medrano,Bajo El Agua,0,5QSYWruQQ7kBCHScI4xJ9g
2022-06-03 10:13,Anson Seabra,Unloving You,153662,2w9nvs1ByWUGkED4M0ug34
2022-06-03 10:17,Sleeping At Last,Chasing Cars,3018,2d7LPtieXdIYzf7yHPooWd
2022-06-03 10:17,ROSIE,Never the 1,1625,3gk96wClxx6rbSOpxXUc5O
2022-06-03 10:17,One Direction,18,248360,3JjnGLK8IxkNLvo8Lb3KOM
2022-06-03 10:17,JP Saxe,If the World Was Ending (feat. Julia Michaels),952,2kJwzbxV2ppxnQoYw4GLBZ
2022-06-03 10:17,Madison Beer,Selfish,4190,4PV0uE5pZSh44E3NqNNDEH
2022-06-03 10:20,ROSIE,Never the 1,171960,3gk96wClxx6rbSOpxXUc5O
2022-06-03 10:29,JP Saxe,If the World Was Ending (feat. Julia Michaels),122503,2kJwzbxV2ppxnQoYw4GLBZ
2022-06-03 20:24,Hailee Steinfeld,Wrong Direction,185,5Qsp8mtshe70DX7EYbWZGo
2022-06-03 20:26,Tate McRae,you broke me first,169265,45bE4HXI0AwGZXfZtMp8JR
2022-06-03 20:30,Andy Grammer,"Don't Give Up On Me - (From ""Five Feet Apart"")",196187,5A3fPy30SN2wuzrahpcxvV
2022-06-03 20:32,Ruel,Hard Sometimes,1369,0D2xguFRqCF0OUqXCkqrpU
2022-06-03 20:32,Olivia Rodrigo,good 4 u,162566,6PERP62TejQjgHu81OHxgM
2022-06-03 20:36,Benson Boone,In The Stars,216410,1ei3hzQmrgealgRKFxIcWn
2022-06-03 20:39,Tate McRae,that way,175026,7l97ElWmIdVHWUaOeeU5ZC
2022-06-03 20:43,Matthew Mole,Running After You,237996,6cRkm1iHWDYpkQanPyLqwn
2022-06-03 20:47,P!nk,Try,247906,1jF7IL57ayN4Ity3jQqGu0
2022-06-03 20:48,Isak Danielson,Always,1416,2bdCO4UTMX1ennK2I4rFpD
2022-06-03 20:48,Sara Kays,Rich Boy,54009,6fAF2lOiZ86UNlY1Nth9tW
2022-06-03 20:48,Sasha Alex Sloan,Older,719,52iLDrSoRtf9lcgFuLVfqE
2022-06-03 20:48,Dove Cameron,If Only,1393,1mRBJdpIgc3jZH8C3cN2WV
2022-06-04 00:22,Isak Danielson,Always,25123,2bdCO4UTMX1ennK2I4rFpD
2022-06-06 10:06,One Direction,18,248360,3JjnGLK8IxkNLvo8Lb3KOM
2022-06-06 10:19,P!nk,Try,247906,1jF7IL57ayN4Ity3jQqGu0
2022-06-07 15:37,Hailee Steinfeld,Wrong Direction,10913,5Qsp8mtshe70DX7EYbWZGo
2022-06-07 15:47,Alessia Cara,River Of Tears,254506,3ArYVrRb0lDBLzuJJqIXzC
2022-06-07 15:51,Anson Seabra,Welcome to Wonderland,199131,3JfHYZKy5JmE5Fv4gDTCiz
2022-06-07 18:59,One Direction,Perfect,230333,5yWL57uHx9aincW0l7px7p
2022-06-07 19:03,Dylan Conrique,birthday cake,205280,7dDrR6vMK1JAwZZ5MIWgme
2022-06-08 20:13,Morat,Ya No Estás Tú,187796,4vVI1dW2NmwtXfXrYPw6Ct
2022-06-10 09:59,Dylan Conrique,birthday cake,188708,7dDrR6vMK1JAwZZ5MIWgme
2022-06-10 10:02,Aitana,+,219367,5Cbo7oz78gqkzV3EAM63VA
2022-06-10 19:33,Ed Sheeran,All of the Stars,234986,3SZLtkoHoECHHuOnNkNCuS
2022-06-10 19:40,P!nk,Try,247906,1jF7IL57ayN4Ity3jQqGu0
2022-06-10 20:09,Vancouver Sleep Clinic,Someone To Stay,254013,2xlV2CuWgpPyE9e0GquKDN
2022-06-12 17:12,Anson Seabra,Peter Pan Was Right,112128,2At18rPHOuTEjGEppwGV0A
2022-06-12 17:12,Anson Seabra,Walked Through Hell,1301,6c7N5N7amAOpeMykjlovjI
2022-06-12 17:16,Sam Fischer,What Other People Say (with Sam Fischer),1215,2tsI8snJhb4BL9zczvlZmL
2022-06-12 17:16,Anson Seabra,Walked Through Hell,216864,6c7N5N7amAOpeMykjlovjI
2022-06-12 17:19,Sabrina Carpenter,Skin,177500,03B2SfXuvDh1m9F4tqrX07
2022-06-12 17:19,Matt Landi,"Oh Man, What a View!",6058,2b5zQzxVQUVacZKGkpw59z
2022-06-12 17:22,Anson Seabra,"It's Raining, It's Pouring",183089,0dhw2WjJZBsbBDv0Ipdgbw
2022-06-12 17:25,WALK THE MOON,Lost In The Wild,175104,0M1A9wInEHilyWkh4I8tWo
2022-06-13 22:01,Lord Huron,The Night We Met,208211,3hRV0jL3vUpRrcy398teAU
2022-06-13 22:15,Ed Sheeran,All of the Stars,234986,3SZLtkoHoECHHuOnNkNCuS
2022-06-13 22:19,Halsey,Sorry,219531,6MXJdqTuSDXkG21JHWiGko
2022-06-13 22:27,Anson Seabra,Unloving You,1834,2w9nvs1ByWUGkED4M0ug34
2022-06-13 22:31,5 Seconds of Summer,Amnesia,237247,0dIOvducp7ujHTqj66cQ3X
2022-06-13 22:34,Andy Grammer,"Don't Give Up On Me - (From ""Five Feet Apart"")",196187,5A3fPy30SN2wuzrahpcxvV
2022-06-13 22:41,Anson Seabra,Peter Pan Was Right,192497,2At18rPHOuTEjGEppwGV0A
2022-06-14 13:48,Anson Seabra,Welcome to Wonderland,10078,3JfHYZKy5JmE5Fv4gDTCiz
2022-06-14 13:52,Selena Gomez,Lose You To Love Me,206458,2FeGfLRrUIMwybTplG0AWj
2022-06-14 13:55,Aitana,+,219367,5Cbo7oz78gqkzV3EAM63VA
2022-06-14 14:02,Vancouver Sleep Clinic,Someone To Stay,211557,2xlV2CuWgpPyE9e0GquKDN
2022-06-14 14:19,Dylan Conrique,birthday cake,205280,7dDrR6vMK1JAwZZ5MIWgme
2022-06-14 14:38,Julie and the Phantoms Cast,Perfect Harmony (feat. Madison Reyes & Charlie Gillespie),204000,5yeHtAPGAFsfN9baoglUlc
2022-06-14 14:41,Taylor Swift,Crazier,191946,5vyxXfD5gLlyPxGZMEjtmd
2022-06-14 18:04,Kodaline,Brother,203185,65gLJGey4u4KFFqoC5fzFJ
2022-06-14 18:08,Benson Boone,In The Stars,216410,1ei3hzQmrgealgRKFxIcWn
2022-06-14 18:22,Zac Efron,Rewrite The Stars,217440,65fpYBrI8o2cfrwf2US4gq
2022-06-14 18:25,Selena Gomez,Back To You,197650,514rhnksEwHUh6LxXsQ4Y9
2022-06-14 18:34,Cole Norton,Perfect,4179,5yWL57uHx9aincW0l7px7p
2022-06-14 18:34,Zoe Wees,Control,93253,50Td3qilgs8BLtv8mHyT1t
2022-06-16 14:09,Haiden,Sorry to Your Next Ex,171315,3MmSF1hLnAHBrpF4A0fY9d
2022-06-16 14:26,Leyla Blue,What A Shame,128360,7FGIEAVXfegxngH9Jg6VwA
2022-06-16 20:59,Tate McRae,she's all i wanna be,206772,0IuVhCflrQPMGRrOyoY5RW
2022-06-16 21:08,Olivia Rodrigo,drivers license,1642,7lPN2DXiMsVn7XUKtOW1CS
2022-06-16 21:08,Hailee Steinfeld,Wrong Direction,1002,5Qsp8mtshe70DX7EYbWZGo
2022-06-16 21:08,Tate McRae,you broke me first,1578,45bE4HXI0AwGZXfZtMp8JR
2022-06-16 21:11,Tate McRae,that way,175026,7l97ElWmIdVHWUaOeeU5ZC
2022-06-16 21:13,Sara Kays,Remember That Night?,1216,1nYzjrdVQ8RpF93M0jPFW7
2022-06-16 21:20,Madison Beer,Selfish,16681,4PV0uE5pZSh44E3NqNNDEH
2022-06-22 10:02,Benson Boone,In The Stars,216410,1ei3hzQmrgealgRKFxIcWn
2022-06-22 10:06,Kodaline,Brother,203185,65gLJGey4u4KFFqoC5fzFJ
2022-06-22 10:08,Tate McRae,that way,175026,7l97ElWmIdVHWUaOeeU5ZC
2022-06-22 10:11,Justin Bieber,Ghost,153190,6I3mqTwhRpn34SLVafSH7G
2022-06-22 10:14,ROSIE,Never the 1,10053,3gk96wClxx6rbSOpxXUc5O
2022-06-22 10:14,Stephen Sanchez,Until I Found You - Piano Version,743,06vNG6CiV4k8oNA0wUUAO7
2022-06-22 10:14,Dylan Conrique,birthday cake,1787,7dDrR6vMK1JAwZZ5MIWgme
2022-06-22 10:14,Julia Michaels,What A Time (feat. Niall Horan),173306,5WtfUKzXircvW8l5aaVZWT
2022-06-22 10:20,Stephen Sanchez,Until I Found You - Piano Version,184894,06vNG6CiV4k8oNA0wUUAO7
