artist,album,track,uri
Ed Sheeran,x,Thinking out Loud,spotify:track:34gCuhDGsG4bRPIf9bb02f
Arnau Griso,Revolución Bananera,El Gusto Es Mío,spotify:track:4mtg50kuXmao7kN0LQ42vj
Coro Pascua Joven San Isidro,Se entregó por mí,Siempre me amaste,spotify:track:1AjI2lT6Axuq8l8lVNkG7Z
Imagine Dragons,Night Visions,It's Time,spotify:track:3xqF04FdMK7gpIPG3SPFpY
Louis Tomlinson,Walls,Defenceless,spotify:track:74YzCrLzu7fw0AasX3CEwv
Plastilina,Puedo Con Esto,Puedo Con Esto - Fuera de Foco,spotify:track:7b20UD7LTaWHH1DIyL3ECx
Sublime Reggae Kings,Vintage Reggae Beats,Shape of You,spotify:track:4KNEbv37cHOoaUATPlpDTm
Justin Bieber,Believe,Out Of Town Girl,spotify:track:3P1S4UtNtXe67piyERXijj
No Te Va Gustar,40 Principales Pop & Rock Nacionales,A las Nueve,spotify:track:5s102IKicBRHHF7AyvVkg4
Nicky Jam,Live It Up,Live It Up - Official Song 2018 FIFA World Cup Russia,spotify:track:4DnHUy01jEA4b5ydC3HgsT
Sublime Reggae Kings,Vintage Reggae Beats,Fetish,spotify:track:1cmy1zD0q7NOem9aL2Z0mS
Jason Mraz,YES! (Commentary),Rise,spotify:track:3jQ2Hc26sMhKS8Out9UELG
Jason Mraz,Love Is a Four Letter Word,5/6,spotify:track:3IEvXtg3l0ikYX0wzZmNHs
Los Auténticos Decadentes,40 Principales Pop & Rock Nacionales,No Me Importa el Dinero (En Vivo),spotify:track:0DZLuyMf4pQEcWLiItvlkT
La Beriso,En Vivo en el Estadio Único,Traicionero - En Vivo en el Estadio Único,spotify:track:64ovzYdza1i6uCLVxp7qWb
Coro Pascua Joven San Isidro,Alimento que da vida,De tal manera,spotify:track:679QWdniiIncgLKLE16ecH
Bryan Adams,Reckless,Straight From The Heart - Live At Hammersmith Odeon/1985,spotify:track:4eeFFvToeIYe7KQt86GtvK
Coro Pascua Joven San Isidro,Nueva Mañana,No Mueras Hermano,spotify:track:6j9YrUripmhZKC7S7oFLSQ
Soda Stereo,Me Verás Volver (Hits & Más),Persiana Americana - Remasterizado 2007,spotify:track:5wCUdBsdubZ3ZFoJoRsMrY
Bryan Adams,Reckless,Reckless,spotify:track:5Z0MLOJFDDx72dABWdscBz
Queen,Bohemian Rhapsody,I Want To Break Free,spotify:track:7iAqvWLgZzXvH38lA06QZg
Imagine Dragons,Night Visions,I Don't Mind,spotify:track:4qOg66OSxn91uxkCy8KY0g
Mi Karma González,40 Principales Pop & Rock Nacionales,Mi Almita,spotify:track:4vXNabwOFzF0iw0qh2lG4Y
Jason Mraz,We Sing. We Dance. We Steal Things.,The Dynamo of Volition,spotify:track:40kxsbln77BpIcTtEUCVQF
Justin Bieber,Believe,Die In Your Arms,spotify:track:6RgSSndg8PUH2UcaCgia5V
Coro Pascua Joven San Isidro,Alimento que da vida,Brazos abiertos,spotify:track:2jPLRkYf0aBSGQ2Atw76xg
Jason Mraz,We Sing. We Dance. We Steal Things.,Live High,spotify:track:0XIVmUXrwk0IjQEOWFnyn1
Turf,Turfshow,"Yo No Me Quiero Casar, Y Ud?",spotify:track:6BaMKZw3o4r0OQwDcPNI12
Helena,Dime Rey,Dime Rey,spotify:track:6pu8hHaPnU9h86EXcehDxz
SEVENTEEN,SEVENTEEN 4th Mini Album ‘Al1’,Swimming Fool,spotify:track:0WdLp00HrAgjldOqFTpqb5
Calle 13,Residente o Visitante,La Fokin Moda,spotify:track:6HFRqU7JQf3J4ukXW2NGoA
Jason Mraz,YES! (Commentary),3 Things,spotify:track:4LnRjfzgniqXb24JkoAqzz
Queen,Bohemian Rhapsody,Ay-Oh - Live Aid,spotify:track:6Fl9MoM9BDk6vwbHqBBZeK
Lady Gaga,A Star Is Born Soundtrack,La Vie En Rose,spotify:track:3tv3f29zjhzL3kcvQE8tGl
Jason Mraz,YES! (Commentary),A World with You,spotify:track:6nJzY3SxF0FFGZL1jrN6Kx
Jason Mraz,Love Is a Four Letter Word,Who's Thinking About You Now?,spotify:track:10MItfqc2XgpchP0plPxOl
Imagine Dragons,Night Visions,Cha-Ching (Till We Grow Older),spotify:track:2zfFLgnzc9PspmqKMODS2g
Patricio Rey y sus Redonditos de Ricota,Oktubre,Preso en Mi Ciudad,spotify:track:5ZVVWsoMf7M1MBBi2w2Bye
La Beriso,En Vivo en el Estadio Único,Flores - En Vivo en el Estadio Único,spotify:track:3zLOiFlFq5Wh8qckWyRNqy
Ed Sheeran,x,Afire Love,spotify:track:12B0Twa9kRz45Xw2PgXHJm
La Beriso,En Vivo en el Estadio Único,Argentina (with Diego Bozzalla) - En Vivo en el Estadio Único,spotify:track:26uO2lGtI52oYjAJQwkskC
Red Hot Chili Peppers,Californication,Parallel Universe,spotify:track:1Se0r96r0gnqg67kJPmESc
Red Hot Chili Peppers,Californication,Scar Tissue,spotify:track:1G391cbiT3v3Cywg8T7DM1
Queen,Bohemian Rhapsody,Fat Bottomed Girls - Live In Paris,spotify:track:5Q2cQZKPvF4bpcjV3TCTss
Ed Sheeran,+,The City,spotify:track:4ucfQOYOe1Jz5KqCfpGobp
Fran Busso,Agua y Harina,Mirar al Sol,spotify:track:51aMl9OJF4S2v8Zswuwi2h
Fran Busso,Agua y Harina,El Tiempo,spotify:track:4lEOuDRq9uE5hK794UDIl4
Lady Gaga,A Star Is Born Soundtrack,Shallow - Radio Edit,spotify:track:6QfS2wq5sSC1xAJCQsTSlj
La Beriso,En Vivo en el Estadio Único,Madrugada (with Néstor Ramljak) - En Vivo en el Estadio Único,spotify:track:0inb8fHqJ8y1BBkwBX7e5b
Bryan Adams,Reckless,Kids Wanna Rock - Live At Hammersmith Odeon/1985,spotify:track:1RNZPvN0jmqRUq6v63IL01
Illya Kuryaki & The Valderramas,Cinco Décadas de Rock Argentino: Quinta Década 2006 - 2016,Aguila Amarilla,spotify:track:4wqr7f0FVatXjhYoNbvS9A
Asaf Avidan,"Radio adidas Original Presents: Hits & Remixes, Vol. 2",One Day / Reckoning Song (Wankelmut Remix) [Radio Edit],spotify:track:2AnM8lRRJ1mw9bwvHmDW1i
Ed Sheeran,÷,What Do I Know?,spotify:track:2pJZ1v8HezrAoZ0Fhzby92
Ed Sheeran,÷,Nancy Mulligan,spotify:track:35QZaWQRkmnAVqBF1TLCxQ
Niall Horan,Flicker,Since We're Alone,spotify:track:5H1F6IcTDL5hOZjazTzj6F
Imagine Dragons,Night Visions,America,spotify:track:44QumXzhfwNFjpG8SCVR9d
Niall Horan,Flicker,Paper Houses,spotify:track:57AHPLhNAWpiS7g198jeTA
Coro Pascua Joven San Isidro,Nueva Mañana,Chamarrita de la Virgen,spotify:track:6nggrlSS3hzDDnH60FnV2G
Nonpalidece,40 Principales Pop & Rock Nacionales,La Flor (En Vivo),spotify:track:5aj3VbllPBALfnOIrdVe9X
Coldplay,A Head Full of Dreams,A Head Full of Dreams,spotify:track:6f49kbOuQSOsStBpyGvQfA
Maluma,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)","Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",spotify:track:0JoHqmlqE0W0i9prt6kcHR
Lady Gaga,A Star Is Born Soundtrack,Look What I Found,spotify:track:6Id5RM56PFn2hB4I0ox0WA
Anuel AA,Real Hasta la Muerte,Quiere Beber,spotify:track:0FDMH2ahuIVzCybwHJK9zh
La Beriso,En Vivo en el Estadio Único,Mañana - En Vivo en el Estadio Único,spotify:track:2m4tyeCztx46FUfzCiko6a
Ed Sheeran,+,U.N.I.,spotify:track:5Ukzlujip1Slqka5OY82YS
Ed Sheeran,+,Small Bump,spotify:track:4z1O25cq9g2kuJemmUxc21
Arnau Griso,Revolución Bananera,La Casa de Tothom,spotify:track:6A4ThVuJCtxDtMUfHFSmuJ
K'NAAN,Wavin' Flag,Wavin' Flag - Coca-Cola® Celebration Mix,spotify:track:6WFQsZZa81anp9BkqZMyTb
Jason Mraz,YES! (Commentary),Quiet - Commentary,spotify:track:0QNihDafMdgd1dgYbFLZtZ
Jason Mraz,YES! (Commentary),Shine,spotify:track:1XvqwBvy0b59RV9PES1bwl
Justin Bieber,Believe,Beauty And A Beat,spotify:track:0KTsmr6JOuhxZuiXUha1xC
Jason Mraz,We Sing. We Dance. We Steal Things.,Only Human,spotify:track:0dJL53qS9Vc4hLONKPJ7tj
Coro Pascua Joven San Isidro,Estás Aquí,Estás Aquí,spotify:track:20WtVklIS1RWGhulee9pjc
La Franela,40 Principales Pop & Rock Nacionales,Hacer un Puente,spotify:track:3Dt8jFjWpEKuGEUclBY0uu
Jason Mraz,Know.,Making It Up,spotify:track:0nbrLkHXitxgkiJHjLjBIk
Jason Mraz,YES! (Commentary),Long Drive - Commentary,spotify:track:7l004MS1l8ldTEewSGv80G
Coro Pascua Joven San Isidro,Se entregó por mí,Algo de paz,spotify:track:1iQzgWBs0E5aRCe84gIwNA
Jason Mraz,YES! (Commentary),Shine - Commentary,spotify:track:2NDe8AkRC7Ohm3u6ycD8iV
Bryan Adams,Reckless,The Boys Night Out,spotify:track:6OJZcKb3RJ04wrF6l5Zse0
Olly Murs,You Don't Know Love,You Don't Know Love,spotify:track:3Iyzdie1LZW22Z9S2hIvHl
Queen,Bohemian Rhapsody,Bohemian Rhapsody - Live Aid,spotify:track:7xHATAMD7ezTZGYsNAMr5R
Ed Sheeran,x,Shirtsleeves,spotify:track:7awwmuGslmuyhnlpFipDqk
Coldplay,A Head Full of Dreams,Up&Up,spotify:track:31L9yLXSj6LpCFupyMV6CR
Justin Bieber,Believe,Fairytale,spotify:track:7CvCplpla3nyDwftdkG0JE
Arnau Griso,Revolución Bananera,Mil Meses,spotify:track:2JajboeUCfZFIRWcGrIRIg
Niall Horan,Flicker,Mirrors,spotify:track:47YK9mBRXyPF0EFk3KDXrA
Ed Sheeran,÷,Shape of You,spotify:track:7qiZfU4dY1lWllzX7mPBI3
Jason Mraz,Know.,Let's See What The Night Can Do,spotify:track:3dglCYsVMjPbDlU2CC9Vq7
Mancha De Rolando,Viaje,Melodia Simple,spotify:track:2bIxdaCSPJmsDv2z65CtTK
Coldplay,A Head Full of Dreams,Birds,spotify:track:3HWDWyIqWuLsTHECx9DvXF
Bryan Adams,Reckless,Somebody,spotify:track:3KTxIOIZIE7UM6vwCX4Ofv
Ed Sheeran,x,Photograph,spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL
Calle 13,Entren Los Que Quieran,La Vuelta Al Mundo,spotify:track:1jlKdNbOA90rjnt88GJnwO
Queen,Bohemian Rhapsody,Bohemian Rhapsody,spotify:track:3z8h0TU7ReDPLIbEnYhWZb
Calle 13,Residente o Visitante,Uiyi Guaye,spotify:track:1nRuMTaJltcmWvzJnaTgqA
Red Hot Chili Peppers,Californication,Around the World,spotify:track:0aGQHMr7bc23Y9Ts84ffop
Babasónicos,40 Principales Pop & Rock Nacionales,Putita,spotify:track:2aYrTzJwVaYzh6wg7POfkg
